iter	Passed	Remaining
984	21071	85890
985	21090	85860
986	21109	85829
987	21129	85800
988	21148	85769
989	21167	85738
990	21189	85718
991	21208	85687
992	21227	85658
993	21247	85629
994	21267	85606
995	21290	85587
996	21309	85556
997	21328	85526
998	21347	85497
999	21370	85481
1000	21389	85452
1001	21410	85428
1002	21432	85409
1003	21453	85387
1004	21472	85357
1005	21492	85328
1006	21514	85308
1007	21533	85279
1008	21554	85258
1009	21574	85228
1010	21597	85214
1011	21616	85183
1012	21638	85165
1013	21658	85137
1014	21678	85111
1015	21698	85084
1016	21718	85058
1017	21737	85028
1018	21756	84998
1019	21775	84967
1020	21794	84936
1021	21815	84912
1022	21837	84895
1023	21855	84862
1024	21875	84832
1025	21896	84813
1026	21916	84785
1027	21936	84758
1028	21957	84736
1029	21978	84712
1030	22000	84695
1031	22021	84670
1032	22041	84643
1033	22062	84624
1034	22084	84602
1035	22106	84585
1036	22128	84566
1037	22148	84538
1038	22171	84523
1039	22191	84497
1040	22211	84470
1041	22231	84443
1042	22250	84415
1043	22272	84397
1044	22293	84374
1045	22314	84349
1046	22333	84320
1047	22353	84293
1048	22374	84271
1049	22392	84239
1050	22412	84211
1051	22433	84189
1052	22453	84162
1053	22473	84135
1054	22492	84107
1055	22512	84080
1056	22535	84064
1057	22556	84044
1058	22578	84024
1059	22600	84004
1060	22621	83984
1061	22643	83965
1062	22663	83937
1063	22683	83913
1064	22706	83895
1065	22725	83867
1066	22748	83851
1067	22767	83822
1068	22787	83796
1069	22808	83772
1070	22826	83740
1071	22846	83712
1072	22866	83685
1073	22886	83662
1074	22905	83633
1075	22924	83602
1076	22943	83573
1077	22964	83549
1078	22987	83535
1079	23006	83503
1080	23026	83479
1081	23046	83452
1082	23067	83430
1083	23089	83410
1084	23108	83381
1085	23127	83353
1086	23145	83320
1087	23166	83295
1088	23184	83265
1089	23205	83241
1090	23224	83212
1091	23245	83190
1092	23265	83164
1093	23285	83137
1094	23303	83105
1095	23323	83080
1096	23344	83056
1097	23365	83033
1098	23384	83004
1099	23405	82982
1100	23424	82955
1101	23443	82924
1102	23462	82895
1103	23484	82878
1104	23507	82861
1105	23529	82844
1106	23550	82820
1107	23569	82790
1108	23592	82774
1109	23611	82746
1110	23632	82723
1111	23653	82702
1112	23672	82672
1113	23692	82647
1114	23713	82625
1115	23737	82612
1116	23757	82586
1117	23775	82556
1118	23796	82532
1119	23817	82511
1120	23840	82493
1121	23862	82476
1122	23880	82445
1123	23902	82424
1124	23922	82398
1125	23944	82380
1126	23963	82353
1127	23987	82338
1128	24006	82309
1129	24025	82281
1130	24047	82261
1131	24067	82237
1132	24089	82217
1133	24109	82195
1134	24129	82169
1135	24151	82148
1136	24172	82127
1137	24193	82103
1138	24213	82078
1139	24235	82059
1140	24257	82040
1141	24276	82013
1142	24298	81994
1143	24320	81974
1144	24341	81951
1145	24360	81925
1146	24379	81897
1147	24399	81869
1148	24422	81853
1149	24440	81823
1150	24463	81806
1151	24481	81775
1152	24501	81750
1153	24520	81720
1154	24542	81702
1155	24563	81678
1156	24582	81651
1157	24604	81633
1158	24623	81605
1159	24643	81578
1160	24663	81553
1161	24683	81529
1162	24706	81512
1163	24727	81489
1164	24746	81460
1165	24766	81435
1166	24787	81413
1167	24806	81385
1168	24824	81354
1169	24843	81326
1170	24864	81303
1171	24882	81272
1172	24903	81249
1173	24926	81235
1174	24947	81210
1175	24967	81186
1176	24986	81158
1177	25005	81128
1178	25025	81105
1179	25049	81090
1180	25069	81067
1181	25088	81039
1182	25108	81013
1183	25130	80994
1184	25149	80967
1185	25169	80941
1186	25189	80914
1187	25208	80888
1188	25228	80862
1189	25249	80842
1190	25270	80817
1191	25288	80788
1192	25308	80761
1193	25328	80735
1194	25347	80709
1195	25368	80686
1196	25387	80659
1197	25409	80639
1198	25430	80618
1199	25451	80596
1200	25475	80583
1201	25497	80564
1202	25521	80552
1203	25541	80527
1204	25562	80504
1205	25582	80479
1206	25601	80452
1207	25623	80433
1208	25643	80408
1209	25663	80383
1210	25684	80361
1211	25706	80343
1212	25727	80320
1213	25749	80301
1214	25771	80284
1215	25795	80270
1216	25813	80240
1217	25832	80211
1218	25854	80192
1219	25872	80162
1220	25894	80142
1221	25917	80127
1222	25941	80113
1223	25960	80087
1224	25981	80064
1225	26000	80037
1226	26019	80008
1227	26038	79982
1228	26058	79956
1229	26082	79942
1230	26103	79921
1231	26123	79897
1232	26143	79871
1233	26164	79851
1234	26184	79827
1235	26207	79808
1236	26229	79791
1237	26249	79766
1238	26271	79747
1239	26291	79721
1240	26312	79701
1241	26334	79681
1242	26354	79656
1243	26377	79641
1244	26397	79617
1245	26420	79600
1246	26439	79572
1247	26462	79557
1248	26481	79530
1249	26503	79511
1250	26524	79489
1251	26544	79462
1252	26564	79438
1253	26587	79422
1254	26608	79402
1255	26629	79380
1256	26649	79356
1257	26669	79330
1258	26692	79312
1259	26711	79287
1260	26734	79271
1261	26752	79241
1262	26773	79218
1263	26796	79203
1264	26819	79185
1265	26839	79161
1266	26860	79139
1267	26882	79121
1268	26905	79104
1269	26924	79077
1270	26945	79056
1271	26966	79032
1272	26986	79010
1273	27010	78996
1274	27030	78971
1275	27050	78947
1276	27070	78921
1277	27090	78896
1278	27111	78875
1279	27134	78860
1280	27156	78841
1281	27176	78815
1282	27196	78792
1283	27217	78770
1284	27237	78744
1285	27258	78723
1286	27277	78696
1287	27299	78676
1288	27320	78653
1289	27338	78625
1290	27359	78603
1291	27378	78574
1292	27397	78547
1293	27418	78525
1294	27438	78501
1295	27459	78479
1296	27477	78449
1297	27499	78429
1298	27517	78400
1299	27538	78377
1300	27559	78355
1301	27578	78330
1302	27602	78317
1303	27621	78290
1304	27644	78272
1305	27663	78246
1306	27682	78218
1307	27703	78197
1308	27723	78170
1309	27744	78151
1310	27767	78133
1311	27788	78112
1312	27808	78089
1313	27828	78063
1314	27851	78047
1315	27871	78024
1316	27892	78000
1317	27911	77974
1318	27932	77951
1319	27954	77932
1320	27976	77913
1321	27995	77888
1322	28017	77869
1323	28036	77842
1324	28056	77815
1325	28075	77788
1326	28098	77773
1327	28118	77749
1328	28137	77721
1329	28156	77695
1330	28177	77673
1331	28198	77651
1332	28218	77626
1333	28238	77602
1334	28257	77576
1335	28279	77557
1336	28302	77542
1337	28322	77516
1338	28345	77499
1339	28368	77483
1340	28387	77457
1341	28405	77428
1342	28425	77402
1343	28443	77373
1344	28463	77348
1345	28486	77333
1346	28506	77309
1347	28528	77288
1348	28546	77259
1349	28565	77233
1350	28587	77213
1351	28608	77192
1352	28628	77168
1353	28650	77149
1354	28670	77123
1355	28694	77111
1356	28714	77087
1357	28735	77066
1358	28757	77046
1359	28780	77030
1360	28802	77011
1361	28821	76983
1362	28839	76955
1363	28860	76932
1364	28880	76909
1365	28900	76884
1366	28920	76859
1367	28940	76836
1368	28964	76821
1369	28984	76797
1370	29006	76778
1371	29026	76754
1372	29046	76731
